dataset,method,classifier,fold,kfold,fmin,gmin,max_size,svc_C,pattern_type,closed_multiset,accuracy,pattern_number,extraction_time,time
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,0.1,relevant,True,0.41379310344827586,87,10.57934774197929,15.852300701997592
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,1,relevant,True,0.632183908045977,87,10.57934774197929,15.847764186983113
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,10,relevant,True,0.7126436781609196,87,10.57934774197929,15.845469477004372
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,100,relevant,True,0.632183908045977,87,10.57934774197929,15.845755970993196
asl-bu,occurrence,SVC,3,5,0.6,0.0,4,1000,relevant,True,0.6091954022988506,87,10.57934774197929,15.846788586000912
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,0.001,relevant,True,0.367816091954023,70,10.782680881995475,15.109267216001172
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,0.01,relevant,True,0.367816091954023,70,10.782680881995475,15.109781368999393
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,0.1,relevant,True,0.45977011494252873,70,10.782680881995475,15.110153643006925
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,1,relevant,True,0.6896551724137931,70,10.782680881995475,15.106554263009457
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,10,relevant,True,0.6781609195402298,70,10.782680881995475,15.10587057399971
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,100,relevant,True,0.6666666666666666,70,10.782680881995475,15.107348271994852
asl-bu,occurrence,SVC,4,5,0.6,0.0,4,1000,relevant,True,0.632183908045977,70,10.782680881995475,15.10787768800219
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,0.001,relevant,False,0.367816091954023,27,140.6508653750061,142.77725707899663
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,0.01,relevant,False,0.367816091954023,27,140.6508653750061,142.77716769899416
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,0.1,relevant,False,0.367816091954023,27,140.6508653750061,142.77707229201042
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,1,relevant,False,0.5977011494252874,27,140.6508653750061,142.7754706669948
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,10,relevant,False,0.6666666666666666,27,140.6508653750061,142.77428025200788
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,100,relevant,False,0.6781609195402298,27,140.6508653750061,142.7751590780099
asl-bu,occurrence,SVC,0,5,0.6,1.0,0,1000,relevant,False,0.632183908045977,27,140.6508653750061,142.77654941599758
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,0.001,relevant,False,0.367816091954023,33,37.97358692501439,40.476285266980994
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,0.01,relevant,False,0.367816091954023,33,37.97358692501439,40.47653530098614
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,0.1,relevant,False,0.367816091954023,33,37.97358692501439,40.47999980498571
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,1,relevant,False,0.632183908045977,33,37.97358692501439,40.476755636991584
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,10,relevant,False,0.6551724137931034,33,37.97358692501439,40.47700569599692
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,100,relevant,False,0.6781609195402298,33,37.97358692501439,40.47516932799772
asl-bu,occurrence,SVC,1,5,0.6,1.0,0,1000,relevant,False,0.6666666666666666,33,37.97358692501439,40.476566222991096
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,0.001,relevant,False,0.367816091954023,43,172.13006938398757,175.39533479200327
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,0.01,relevant,False,0.367816091954023,43,172.13006938398757,175.39547359201242
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,0.1,relevant,False,0.367816091954023,43,172.13006938398757,175.39571770500334
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,1,relevant,False,0.5747126436781609,43,172.13006938398757,175.39376997199724
asl-bu,occurrence,SVC,2,5,0.6,1.0,0,10,relevant,False,0.5747126436781609,43,172.13006938398757,175.39127645701228
